line_id,text,score,detector_text,detector_score,crop_source,crop_h,crop_w,line_height_px,detector_box
76,Soit toeuf ocs8,0.8883002996444702,Soitloeuf:058,0.8640393775243026,rapidocr_box,35,169,35,"[[1023.35, 2778.83], [1192.44, 2778.83], [1192.44, 2814.07], [1023.35, 2814.07]]"
77,.'uchan,0.8496243357658386,uchan,0.9947379231452942,rapidocr_box,162,697,162,"[[250.11, 2858.12], [945.85, 2910.98], [933.52, 3073.1], [237.78, 3020.23]]"
78,Labarquette,0.9769130349159241,Labarquette,0.9850117455829274,rapidocr_box,42,190,42,"[[1513.01, 2889.84], [1703.24, 2896.89], [1701.48, 2939.18], [1511.25, 2932.13]]"
79,26,0.9872118234634399,269,0.6215784549713135,rapidocr_box,116,148,116,"[[1527.1, 2937.42], [1673.3, 2910.98], [1694.43, 3025.52], [1548.24, 3051.95]]"
80,Iechoilebon,0.9579591751098633,"le choix,le bon.",0.9324614927172661,rapidocr_box,63,532,63,"[[399.83, 3043.14], [931.76, 3053.71], [930.0, 3117.15], [398.07, 3106.58]]"
81,FRAISES,0.8978987336158752,FRAISES,0.9910826086997986,rapidocr_box,44,147,44,"[[1491.88, 3078.38], [1639.83, 3081.91], [1639.83, 3125.96], [1491.88, 3122.44]]"
82,Epagny,0.9831954836845398,Epagny,0.9952490329742432,rapidocr_box,54,171,54,"[[695.74, 3118.91], [866.59, 3131.25], [863.07, 3185.87], [692.22, 3173.54]]"
83,La barquette de2Soig,0.917905330657959,Labarquettede250g,0.9902187340399798,rapidocr_box,40,239,40,"[[1488.35, 3117.15], [1727.9, 3120.67], [1727.9, 3161.2], [1488.35, 3157.68]]"
84,Varieteeigarlguette,0.9889696836471558,Varietee gariguette,0.910814747998589,rapidocr_box,42,211,42,"[[1490.11, 3147.1], [1701.48, 3155.92], [1699.72, 3198.21], [1488.35, 3189.4]]"
85,"""YorokdiulsSoig liesaliyfS i ce Fidietie-m o i iconottesurtous tessp ik l itS frnaisdaesihales oheJopur die voitreichigilx .",0.6634533405303955,Produitseligiblesloffredefidetite0%cognottessurtouslesproduitsfraisdesholles lejourdevotrechoix.,0.8660518489778042,rapidocr_box,52,1273,52,"[[26.42, 3192.92], [1299.89, 3221.11], [1299.89, 3273.98], [26.42, 3245.78]]"
86,oucilflorette,0.9258726835250854,ouciflorette,0.9696398178736368,rapidocr_box,29,133,29,"[[1491.88, 3185.87], [1625.74, 3185.87], [1625.74, 3215.83], [1491.88, 3215.83]]"
87,SoltleKg :oc76,0.865979790687561,Soit lekg10676,0.9333901235035488,rapidocr_box,37,169,37,"[[1490.11, 3210.54], [1659.2, 3215.83], [1657.44, 3252.83], [1488.35, 3247.54]]"
88,Voir modolitiesideitoillees b Lloccue ilideivotreirmbgosin ourisuir iotichoinufrtiKMVoirmogosims icioncermessur. Aiuschon.firl,0.9009544849395752,Voirmodalites detaillees a taccueildevotremagasin ousurauchan.fr.VoirmagasinsconcernessurAuchan.fr,0.9342954763952567,rapidocr_box,37,1238,37,"[[28.18, 3233.45], [1266.42, 3254.59], [1266.42, 3291.6], [28.18, 3270.45]]"
89,"Pourvotresante,mangezaumoinscin&fruitsetlegumesparjour",0.9906825423240662,"Pourvotresante,mangezaumoinscinq fruitsetlegumesparjour.",0.9739210871713502,rapidocr_box,52,1367,52,"[[24.66, 3340.94], [1391.48, 3367.37], [1391.48, 3420.23], [24.66, 3393.8]]"
90,wwwMmangerbougerfr,0.9486047029495239,www.mangerbouger.fr,0.9891530181232252,rapidocr_box,52,479,52,"[[1571.14, 3374.42], [2050.23, 3374.42], [2050.23, 3427.28], [1571.14, 3427.28]]"
