image_path,n_boxes,mean_conf,gt_chars,pred_chars,doc_similarity
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0511.jpg,47,0.9849256296115261,542,514,0.7878787878787878
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1337.jpg,104,0.9859328519038951,1028,979,0.8290981564524166
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1180.jpg,105,0.9850913510902924,1163,1091,0.6850044365572315
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0658.jpg,64,0.9846240980535733,670,630,0.86
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0703.jpg,97,0.9882698854292868,1073,1011,0.753358925143954
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0185.jpg,55,0.9838511307735424,562,530,0.8846153846153846
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1453.jpg,72,0.9861038267142135,695,661,0.859882005899705
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1442.jpg,67,0.9817626174113833,770,709,0.6369168356997972
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1302.jpg,77,0.9842601321904788,909,845,0.6351197263397947
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0936.jpg,67,0.9850550062205352,767,712,0.640973630831643
